"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7090","10482","10482","","","594","","","","","","","","","","","","","","","","","","","","","2091","","","","","","1303","1187","","","","","","","","0","","2471","","747","","0","0","","","","","","2089","0","","","","","","","","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","28","88","88","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","60","0","","","","","","","","","","28","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1276","1341","1341","","","380","","","","","","","","","","","","","","","","","","","","","464","","","","","","26","196","","","","","","","","","","200","","36","","","","","","","","","14","","","","","","","","25","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18188","25500","44703","856","97","2803","339","244","279","0","389","383","387","241","203","332","720","1923","162","279","389","","221","14","486","0","5743","139","","0","0","421","1684","2744","912","1902","1502","0","445","76","761","228","176","5722","384","1176","1241","407","872","97","141","53","697","459","2562","172","177","0","543","311","280","0","1825","62","42"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","772","772","772","","","755","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","17","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","959","959","959","","","327","","","","","","","","","","","","","","","","","","","","","242","","","","","","","183","","","","","","","","","","207","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","894","924","924","","","258","","","","","","","","","","","","","","","","","","","","","346","","","","","","30","66","","","","","","","","","","179","","45","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2917","3355","3397","","","332","","","","","","","","","","","","","","","","","","","","","1055","","","","","","284","414","","","","","42","","","","","806","","310","0","","","","","","","","0","","","","","","","","154","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3403","4333","4693","","","814","","","","","","","","","","","","","","","","","","","","","783","","","","","","359","604","","","","","199","","","","","976","","226","51","","","","","","","","0","50","","","111","","","","520","",""
