"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"11","UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP)","H3387-014","70751","82556","124158","943","268","9863","1461","408","422","1061","626","254","725","190","197","100","1047","6592","170","116","49","450","144","11","181","1242","23310","182","482","350","8533","176","4099","12386","1497","1251","3154","835","1481","381","662","22","142","22308","505","2884","753","409","610","46","77","302","192","595","3920","582","224","0","647","262","241","753","3033","197","155"
"12","UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP)","H3387-015","2827","3672","7874","74","33","237","201","56","47","119","55","29","106","15","28","16","68","729","24","21","0","52","19","0","22","114","870","31","64","29","837","14","299","350","174","95","223","81","112","55","75","0","14","1265","28","105","51","40","44","0","11","34","24","68","324","47","28","","59","27","22","76","171","30","32"
"13","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7549","11377","11377","","","579","","","","","","","","","","","","","","","","","","","","","2237","","","","0","","1373","1278","","","","","","","","","","2648","","807","","","0","","","","","","2455","","","","","","","","0","",""
"14","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","16","56","56","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","40","0","","","","","","","","","","16","","","","","","","","","","","0","","","","","","","","0","",""
"15","VNS Health EasyCare Plus (HMO D-SNP)","H5549-011","2153","2266","2266","","","672","","","","","","","","","","","","","","","","","","","","","708","","","","","","44","353","","","","","0","","","","","324","","96","","","","","","","","","29","","","","","","","","40","",""
"16","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18059","25936","45182","844","103","2831","355","258","285","0","397","392","414","231","211","353","682","1840","174","308","382","0","224","21","493","0","5703","130","","0","0","414","1859","2641","922","1913","1482","0","410","86","767","240","166","5699","367","1185","1326","408","877","97","125","53","724","492","2744","180","178","0","521","318","299","0","1948","71","39"
"17","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","1297","1297","1297","","","1271","","","","","","","","","","","","","","","","","","","","","0","","","","","","","26","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"18","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1085","1085","1085","","","343","","","","","","","","","","","","","","","","","","","","","281","","","","0","","0","252","","","","","","","","","","209","","","0","","","","","","","","0","","","","","","","","0","",""
"19","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","0","","","","","0","","0","0","","","","","","","","","","","","","","","","0","",""
"20","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","750","766","766","","","210","","","","","","","","","","","","","","","","","","","","","276","","","","","","16","55","","","","","","","","","","167","","42","0","","","","","","","","","","","","","","","","0","",""
"21","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2503","2880","2919","","","283","","","","","","","","","","","","","","","","","","","","","890","","","","","","251","376","","","","","39","","","","0","688","","266","","","","","","","","","0","","","","","","","","126","",""
"22","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","2915","3752","4030","0","","666","","","","","","","","","","","0","0","","","","","","","","","664","","","","0","","328","545","","","","","152","","","","","842","","198","45","","","","","","","","0","50","","","76","","","","464","",""
