"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"11","UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP)","H3387-014","69405","80905","121761","941","265","9818","1460","394","412","1059","602","255","707","174","196","97","993","6489","173","103","46","436","140","11","182","1213","22587","173","471","353","8426","172","4058","12346","1481","1215","3164","814","1461","369","649","16","136","21830","494","2824","748","399","597","43","75","303","163","577","3742","554","215","","620","267","231","722","2952","199","149"
"12","UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP)","H3387-015","2842","3689","7910","70","30","233","202","51","48","133","55","27","104","15","27","18","68","742","25","15","0","54","21","0","22","114","878","30","69","30","833","14","304","351","177","94","219","85","115","54","74","0","17","1271","34","109","49","37","47","0","0","33","19","71","321","47","27","","58","30","20","82","173","33","31"
"13","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","7580","11277","11277","","","603","","","","","","","","","","","","","","","","","","","","0","2266","","","","","","1332","1254","","","","","","","","","","2651","","806","","","","","","","","","2365","","","","","","","","","",""
"14","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","19","62","62","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","43","0","","","","","","","","","","19","","","","","","","","","","","0","","","","","","","","0","",""
"15","VNS Health EasyCare Plus (HMO D-SNP)","H5549-011","2009","2118","2118","","","614","","","","","","","","","","","","","","","","","","","","","672","","","","","","45","343","","","","","0","","","","","290","","90","","","","","","","","","28","","","","","","","","36","",""
"16","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","17957","25692","44808","848","100","2801","347","259","274","","399","392","408","233","205","352","682","1846","172","309","376","0","224","21","484","0","5660","131","","0","0","414","1829","2646","914","1899","1462","0","416","79","763","239","169","5676","372","1174","1311","407","871","97","128","53","710","479","2707","178","176","0","524","312","288","0","1888","67","37"
"17","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","1244","1244","1244","","","1220","","","","","","","","","","","","","","","","","","","","","0","","","","","","","24","","","","","","","","","","0","","","0","","","","","","","","","","","","","","","","","",""
"18","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","1038","1038","1038","","","349","","","","","","","","","","","","","","","","","","","","","250","","","","","","0","242","","","","","","","","","","197","","","0","","","","","","","","","","","","","","","","0","",""
"19","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","0","","","","","0","","0","0","","","","","","","","","","","","","","","","0","",""
"20","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","794","811","811","","","229","","","","","","","","","","","","","","","","","","","","","281","","","","","","17","59","","","","","","","","","","184","","41","0","","","","","","","","","","","","","","","","0","",""
"21","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","2554","2946","2986","","","288","","","","","","","","","","","","","","","","","","","","","899","","","","","","261","377","","","","","40","","","","0","713","","277","","","","","","","","","","","","","","","","","131","",""
"22","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","2958","3811","4094","0","","681","","","","","","","","","","","0","0","","","","","","","","","690","","","","0","","333","542","","","","","158","","","","","848","","197","46","","","","","","","","0","46","","","79","","","","474","",""
