"","plan_name","h_number","nyc_total","nyc_metro_total","nys_total","albany","allegany","bronx","broome","cattaraugus","cayuga","chautauqua","chemung","chenango","clinton","columbia","cortland","delaware","dutchess","erie","essex","franklin","fulton","genesee","greene","hamilton","herkimer","jefferson","kings","lewis","livingston","madison","monroe","montgomery","nassau","new_york","niagara","oneida","onondaga","ontario","orange","orleans","oswego","otsego","putnam","queens","rensselaer","richmond","rockland","saratoga","schenectady","schoharie","schuyler","seneca","st_lawrence","steuben","suffolk","sullivan","tioga","tompkins","ulster","warren","washington","wayne","westchester","wyoming","yates"
"11","Humana Gold Plus SNP-DE H3533-034 (HMO D-SNP)","H3533-034","6986","10222","10222","","","641","0","","","","","","","","","","","","","","","","","","","","2058","","","","","","1267","1159","","","","","","","","0","","2413","","715","","","0","","","","","","1969","","","","","","","","0","",""
"12","AgeWell New York FeelWell (HMO D-SNP)","H4922-003","26","91","91","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","65","0","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","0","",""
"13","VNSNY CHOICE EasyCare Plus (HMO D-SNP)","H5549-011","1063","1108","1108","","","315","","","","","","","","","","","","","","","","","","","","","364","","","","","","17","188","","","","","","","","","","162","","34","","","","","","","","","11","","","","","","","","17","",""
"14","Wellcare Fidelis Dual Access (HMO D-SNP)","H5599-001","18169","25288","44229","843","93","2801","333","234","276","","382","379","368","233","205","319","729","1928","157","266","379","","215","14","487","0","5753","133","","0","0","427","1658","2739","888","1869","1484","0","433","70","749","232","172","5731","380","1145","1196","393","875","95","135","53","695","454","2486","163","172","","535","304","286","0","1779","62","42"
"15","HumanaChoice SNP-DE H5970-026 (PPO D-SNP)","H5970-026","637","637","637","","","622","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","15","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"16","EmblemHealth VIP Dual Reserve (HMO D-SNP)","H5991-010","979","979","979","","","322","","","","","","","","","","","","","","","","","","","","","236","","","","","","0","202","","","","","","","","","","219","","","","","","","","","","","","","","","","","","","0","",""
"17","Senior Whole Health Medicare Complete Care (HMO D-SNP)","H5992-008","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","0","",""
"18","Centers Plan for Dual Coverage Care (HMO D-SNP)","H6988-002","923","950","950","","","267","","","","","","","","","","","","","","","","","","","","","351","","","","","","27","72","","","","","","","","","","183","","50","0","","","","","","","","","","","","","","","","","",""
"19","Empire MediBlue Dual Advantage (HMO D-SNP)","H8432-007","3045","3489","3533","","","358","","","","","","","","","","","","","","","","","","","","","1092","","","","","","288","439","","","","","44","","","","","838","","318","","","","","","","","","","","","","","","","","156","",""
"20","Empire MediBlue Dual Advantage Select (HMO D-SNP)","H8432-028","3623","4585","4951","","","876","","","","","","","","","","","0","","","","","","","","","","811","","","","","","374","652","","","","","211","","","","","1051","","233","57","","","0","","","","","0","49","","","106","","","","531","",""
